_id,planta,zona,modulo,habitacion,numero,bed_id,estado,nombre_alumno,apellido1,apellido2,numero_alumno,brigada,especialidad,genero
6849322221310b00bf15a28c,1,A,1,1,1,1-A-1-1-Cama1,OCUPADA,Pepe,martinez,soriano,407A,400,oss,H
6849322221310b00bf15a28d,1,A,1,1,2,1-A-1-1-Cama2,OCUPADA,Mary,hernandez,de zuloaga,408B,401,ham,M
6849322221310b00bf15a28e,1,A,1,1,3,1-A-1-1-Cama3,DESOCUPADA,,,,,,,
6849322221310b00bf15a28f,1,A,1,2,1,1-A-1-2-Cama1,DESOCUPADA,,,,,,,
6849322221310b00bf15a290,1,A,1,2,2,1-A-1-2-Cama2,DESOCUPADA,,,,,,,
6849322221310b00bf15a291,1,A,1,2,3,1-A-1-2-Cama3,DESOCUPADA,,,,,,,
6849322221310b00bf15a292,1,A,1,3,1,1-A-1-3-Cama1,DESOCUPADA,,,,,,,
6849322221310b00bf15a293,1,A,1,3,2,1-A-1-3-Cama2,DESOCUPADA,,,,,,,
6849322221310b00bf15a294,1,A,1,3,3,1-A-1-3-Cama3,DESOCUPADA,,,,,,,
6849322221310b00bf15a295,1,A,2,1,1,1-A-2-1-Cama1,DESOCUPADA,,,,,,,
6849322221310b00bf15a296,1,A,2,1,2,1-A-2-1-Cama2,DESOCUPADA,,,,,,,
6849322221310b00bf15a297,1,A,2,1,3,1-A-2-1-Cama3,DESOCUPADA,,,,,,,
6849322221310b00bf15a298,1,A,2,2,1,1-A-2-2-Cama1,DESOCUPADA,,,,,,,
6849322221310b00bf15a299,1,A,2,2,2,1-A-2-2-Cama2,OCUPADA,JAVIER,MOLINA,SOLER,611B,6B,ARS,H
6849322221310b00bf15a29a,1,A,2,2,3,1-A-2-2-Cama3,DESOCUPADA,,,,,,,
6849322221310b00bf15a29b,1,A,2,3,1,1-A-2-3-Cama1,OCUPADA,RUBÉN,SUÁREZ,PASTOR,615B,6B,ARS,H
6849322221310b00bf15a29c,1,A,2,3,2,1-A-2-3-Cama2,DESOCUPADA,,,,,,,
6849322221310b00bf15a29d,1,A,2,3,3,1-A-2-3-Cama3,DESOCUPADA,,,,,,,
6849322221310b00bf15a29e,1,A,3,1,1,1-A-3-1-Cama1,OCUPADA,JORDI,FERRER,CRESPO,601B,6B,EPS,H
